CODIGO_MUNICIPIO,NOMBRE_MPIO,casos,NOMBRE_DEPTO,edad_1529,porcentaje_suicidio_1529
05001,MEDELLIN,1707,ANTIOQUIA,638588,.2673085
05002,ABEJORRAL,30,ANTIOQUIA,4221,.71073204
05021,ALEJANDRIA,1,ANTIOQUIA,973,.10277493
05030,AMAGA,2,ANTIOQUIA,7433,.026907036
05031,AMALFI,11,ANTIOQUIA,6748,.16301127
05034,ANDES,7,ANTIOQUIA,10468,.066870466
05036,ANGELOPOLIS,2,ANTIOQUIA,1326,.15082957
05038,ANGOSTURA,5,ANTIOQUIA,2819,.17736787
05042,SANTA FE DE ANTIOQUIA,4,ANTIOQUIA,6520,.061349694
05044,ANZA,1,ANTIOQUIA,1681,.059488401
05045,APARTADO,55,ANTIOQUIA,35000,.15714286
05051,ARBOLETES,12,ANTIOQUIA,7014,.1710864
05055,ARGELIA,5,ANTIOQUIA,1718,.2910361
05059,ARMENIA,1,ANTIOQUIA,874,.11441647
05079,BARBOSA,36,ANTIOQUIA,12618,.28530669
05086,BELMIRA,2,ANTIOQUIA,1501,.1332445
05088,BELLO,369,ANTIOQUIA,144481,.2553969
05091,BETANIA,1,ANTIOQUIA,2392,.04180602
05093,BETULIA,9,ANTIOQUIA,3835,.23468058
05101,CIUDAD BOLIVAR,8,ANTIOQUIA,5906,.13545547
05107,BRICENO,3,ANTIOQUIA,2037,.1472754
05113,BURITICA,8,ANTIOQUIA,2405,.33264032
05120,CACERES,7,ANTIOQUIA,7284,.096101046
05125,CAICEDO,2,ANTIOQUIA,2090,.095693782
05129,CALDAS,37,ANTIOQUIA,19745,.18738921
05134,CAMPAMENTO,5,ANTIOQUIA,2251,.2221235
05138,CANASGORDAS,2,ANTIOQUIA,3550,.056338027
05142,CARACOLI,2,ANTIOQUIA,917,.21810251
05145,CARAMANTA,3,ANTIOQUIA,902,.33259425
05147,CAREPA,23,ANTIOQUIA,14143,.16262463
05148,EL CARMEN DE VIBORAL,44,ANTIOQUIA,15488,.28409091
05150,CAROLINA,3,ANTIOQUIA,804,.37313432
05154,CAUCASIA,46,ANTIOQUIA,24108,.19080803
05172,CHIGORODO,39,ANTIOQUIA,16465,.23686609
05190,CISNEROS,4,ANTIOQUIA,2121,.18859029
05197,COCORNA,4,ANTIOQUIA,3351,.11936735
05209,CONCORDIA,6,ANTIOQUIA,4908,.12224939
05212,COPACABANA,51,ANTIOQUIA,19709,.25876504
05234,DABEIBA,5,ANTIOQUIA,5707,.087611705
05237,DONMATIAS,9,ANTIOQUIA,4861,.18514709
05240,EBEJICO,4,ANTIOQUIA,2206,.18132366
05250,EL BAGRE,6,ANTIOQUIA,13948,.043016922
05264,ENTRERRIOS,3,ANTIOQUIA,2856,.10504202
05266,ENVIGADO,131,ANTIOQUIA,49167,.26643887
