CODIGO_MUNICIPIO,NOMBRE_MPIO,casos,NOMBRE_DEPTO,porcentaje_suicidio_514
05001,MEDELLIN,280,ANTIOQUIA,.090355806
05002,ABEJORRAL,14,ANTIOQUIA,.46604526
05021,ALEJANDRIA,2,ANTIOQUIA,.27247956
05031,AMALFI,1,ANTIOQUIA,.020850709
05034,ANDES,3,ANTIOQUIA,.047007207
05038,ANGOSTURA,1,ANTIOQUIA,.049925111
05042,SANTA FE DE ANTIOQUIA,2,ANTIOQUIA,.047869794
05044,ANZA,3,ANTIOQUIA,.23980816
05045,APARTADO,7,ANTIOQUIA,.029448885
05051,ARBOLETES,3,ANTIOQUIA,.046612803
05088,BELLO,72,ANTIOQUIA,.10042682
05093,BETULIA,4,ANTIOQUIA,.13908206
05101,CIUDAD BOLIVAR,4,ANTIOQUIA,.097871296
05113,BURITICA,1,ANTIOQUIA,.057012543
05129,CALDAS,3,ANTIOQUIA,.031874202
05138,CANASGORDAS,2,ANTIOQUIA,.07590133
05142,CARACOLI,1,ANTIOQUIA,.15479876
05147,CAREPA,9,ANTIOQUIA,.087770626
05148,EL CARMEN DE VIBORAL,6,ANTIOQUIA,.06441915
05150,CAROLINA,1,ANTIOQUIA,.21551724
05154,CAUCASIA,7,ANTIOQUIA,.037331343
05172,CHIGORODO,4,ANTIOQUIA,.032412283
05190,CISNEROS,4,ANTIOQUIA,.28228652
05197,COCORNA,1,ANTIOQUIA,.038535647
05212,COPACABANA,14,ANTIOQUIA,.14747709
05237,DONMATIAS,3,ANTIOQUIA,.09765625
05240,EBEJICO,1,ANTIOQUIA,.062034741
05250,EL BAGRE,2,ANTIOQUIA,.016295934
05266,ENVIGADO,23,ANTIOQUIA,.10281627
05282,FREDONIA,4,ANTIOQUIA,.12622279
05284,FRONTINO,4,ANTIOQUIA,.096084557
05308,GIRARDOTA,5,ANTIOQUIA,.074117996
05310,GOMEZ PLATA,1,ANTIOQUIA,.070372976
05318,GUARNE,4,ANTIOQUIA,.056045957
05321,GUATAPE,4,ANTIOQUIA,.34158838
05353,HISPANIA,1,ANTIOQUIA,.12360939
05360,ITAGUI,23,ANTIOQUIA,.070528351
05361,ITUANGO,1,ANTIOQUIA,.02287806
05376,LA CEJA,5,ANTIOQUIA,.056116723
05380,LA ESTRELLA,6,ANTIOQUIA,.068360485
05390,LA PINTADA,1,ANTIOQUIA,.078308538
05400,LA UNION,5,ANTIOQUIA,.14836796
05425,MACEO,2,ANTIOQUIA,.1397624
05440,MARINILLA,4,ANTIOQUIA,.039972018
05490,NECOCLI,3,ANTIOQUIA,.030159848
05501,OLAYA,2,ANTIOQUIA,.40485829
05541,EL PENOL,3,ANTIOQUIA,.094996832
05543,PEQUE,1,ANTIOQUIA,.0625
05576,PUEBLORRICO,2,ANTIOQUIA,.14234875
05579,PUERTO BERRIO,3,ANTIOQUIA,.046232086
05585,PUERTO NARE,2,ANTIOQUIA,.084495142
05604,REMEDIOS,3,ANTIOQUIA,.051652893
05607,EL RETIRO,1,ANTIOQUIA,.03362475
05615,RIONEGRO,28,ANTIOQUIA,.16350365
05628,SABANALARGA,1,ANTIOQUIA,.057372347
05631,SABANETA,9,ANTIOQUIA,.10595714
05642,SALGAR,1,ANTIOQUIA,.034686092
05647,SAN ANDRES DE CUERQUIA,1,ANTIOQUIA,.07158196
05649,SAN CARLOS,1,ANTIOQUIA,.037037037
05659,SAN JUAN DE URABA,2,ANTIOQUIA,.041649312
05664,SAN PEDRO DE LOS MILAGROS,2,ANTIOQUIA,.056721497
05665,SAN PEDRO DE URABA,1,ANTIOQUIA,.015092062
05667,SAN RAFAEL,1,ANTIOQUIA,.041373603
05674,SAN VICENTE,3,ANTIOQUIA,.089874178
05679,SANTA BARBARA,1,ANTIOQUIA,.028328612
05686,SANTA ROSA DE OSOS,3,ANTIOQUIA,.0479463
05690,SANTO DOMINGO,3,ANTIOQUIA,.16510732
05697,EL SANTUARIO,6,ANTIOQUIA,.093867332
05736,SEGOVIA,2,ANTIOQUIA,.027081924
05756,SONSON,3,ANTIOQUIA,.051203277
05789,TAMESIS,1,ANTIOQUIA,.045269351
05790,TARAZA,4,ANTIOQUIA,.063694268
05792,TARSO,1,ANTIOQUIA,.10729614
05809,TITIRIBI,1,ANTIOQUIA,.071839079
05819,TOLEDO,1,ANTIOQUIA,.10672358
05837,TURBO,9,ANTIOQUIA,.031795379
05847,URRAO,1,ANTIOQUIA,.017241379
05854,VALDIVIA,2,ANTIOQUIA,.06951686
05858,VEGACHI,3,ANTIOQUIA,.13824885
05861,VENECIA,1,ANTIOQUIA,.068540096
05887,YARUMAL,11,ANTIOQUIA,.14684288
05890,YOLOMBO,2,ANTIOQUIA,.052246604
05895,ZARAGOZA,2,ANTIOQUIA,.035410766
05004,ABRIAQUI,0,ANTIOQUIA,0
05030,AMAGA,0,ANTIOQUIA,0
05036,ANGELOPOLIS,0,ANTIOQUIA,0
05040,ANORI,0,ANTIOQUIA,0
05055,ARGELIA,0,ANTIOQUIA,0
05059,ARMENIA,0,ANTIOQUIA,0
05079,BARBOSA,0,ANTIOQUIA,0
05086,BELMIRA,0,ANTIOQUIA,0
05091,BETANIA,0,ANTIOQUIA,0
