CODIGO_MUNICIPIO,NOMBRE_MPIO,casos,NOMBRE_DEPTO,porcentaje_suicidio_hombres
05059,ARMENIA,0,ANTIOQUIA,0
05789,TAMESIS,0,ANTIOQUIA,0
05411,LIBORINA,0,ANTIOQUIA,0
05842,URAMITA,0,ANTIOQUIA,0
05315,GUADALUPE,0,ANTIOQUIA,0
05467,MONTEBELLO,0,ANTIOQUIA,0
05004,ABRIAQUI,0,ANTIOQUIA,0
05030,AMAGA,0,ANTIOQUIA,0
05086,BELMIRA,0,ANTIOQUIA,0
05873,VIGIA DEL FUERTE,0,ANTIOQUIA,0
05145,CARAMANTA,0,ANTIOQUIA,0
05021,ALEJANDRIA,0,ANTIOQUIA,0
05038,ANGOSTURA,0,ANTIOQUIA,0
05647,SAN ANDRES DE CUERQUIA,0,ANTIOQUIA,0
05670,SAN ROQUE,1,ANTIOQUIA,.0086979214
05040,ANORI,1,ANTIOQUIA,.009706853
05361,ITUANGO,2,ANTIOQUIA,.011554683
05138,CANASGORDAS,1,ANTIOQUIA,.012247398
05197,COCORNA,1,ANTIOQUIA,.012363996
05847,URRAO,2,ANTIOQUIA,.012611931
05364,JARDIN,1,ANTIOQUIA,.013116474
05480,MUTATA,1,ANTIOQUIA,.013255567
05250,EL BAGRE,4,ANTIOQUIA,.014614007
05240,EBEJICO,1,ANTIOQUIA,.015489467
05234,DABEIBA,2,ANTIOQUIA,.016215339
05091,BETANIA,1,ANTIOQUIA,.017934002
05120,CACERES,3,ANTIOQUIA,.018577002
05313,GRANADA,1,ANTIOQUIA,.018871484
05628,SABANALARGA,1,ANTIOQUIA,.019952115
05837,TURBO,14,ANTIOQUIA,.021909919
05543,PEQUE,1,ANTIOQUIA,.022075055
05425,MACEO,1,ANTIOQUIA,.023391813
05885,YALI,1,ANTIOQUIA,.024301337
05667,SAN RAFAEL,2,ANTIOQUIA,.024348672
05674,SAN VICENTE,3,ANTIOQUIA,.02465078
05890,YOLOMBO,3,ANTIOQUIA,.024789291
05656,SAN JERONIMO,2,ANTIOQUIA,.024956327
05585,PUERTO NARE,2,ANTIOQUIA,.026656004
05284,FRONTINO,3,ANTIOQUIA,.027746947
