CODIGO_MUNICIPIO,NOMBRE_MPIO,casos,NOMBRE_DEPTO,porcentaje_suicidio_total
05001,MEDELLIN,2857,ANTIOQUIA,.11008361
05002,ABEJORRAL,62,ANTIOQUIA,.29112083
05021,ALEJANDRIA,3,ANTIOQUIA,.06107492
05030,AMAGA,2,ANTIOQUIA,.0062223882
05031,AMALFI,16,ANTIOQUIA,.057893403
05034,ANDES,19,ANTIOQUIA,.041488338
05036,ANGELOPOLIS,2,ANTIOQUIA,.03288392
05038,ANGOSTURA,6,ANTIOQUIA,.049979176
05040,ANORI,2,ANTIOQUIA,.010242228
05042,SANTA FE DE ANTIOQUIA,10,ANTIOQUIA,.035931155
05044,ANZA,6,ANTIOQUIA,.08072111
05045,APARTADO,84,ANTIOQUIA,.064435959
05051,ARBOLETES,20,ANTIOQUIA,.062788434
05055,ARGELIA,10,ANTIOQUIA,.12539186
05059,ARMENIA,2,ANTIOQUIA,.03732736
05079,BARBOSA,46,ANTIOQUIA,.082660966
05086,BELMIRA,2,ANTIOQUIA,.031466331
05088,BELLO,623,ANTIOQUIA,.11086297
05091,BETANIA,3,ANTIOQUIA,.027757216
05093,BETULIA,16,ANTIOQUIA,.097057931
05101,CIUDAD BOLIVAR,16,ANTIOQUIA,.058270812
05107,BRICENO,6,ANTIOQUIA,.070813172
05113,BURITICA,10,ANTIOQUIA,.10075567
05120,CACERES,8,ANTIOQUIA,.025869038
05125,CAICEDO,3,ANTIOQUIA,.034098659
05129,CALDAS,60,ANTIOQUIA,.070269957
05134,CAMPAMENTO,6,ANTIOQUIA,.062041152
05138,CANASGORDAS,5,ANTIOQUIA,.030757874
05142,CARACOLI,3,ANTIOQUIA,.06274838
05145,CARAMANTA,5,ANTIOQUIA,.10189525
05147,CAREPA,40,ANTIOQUIA,.077254377
05148,EL CARMEN DE VIBORAL,66,ANTIOQUIA,.10351155
05150,CAROLINA,4,ANTIOQUIA,.095831335
05154,CAUCASIA,72,ANTIOQUIA,.074207678
